"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes","comedy","horror","action","drama","scifi","arthouse","documentary","rotten","fresh","cert_fresh"
"3231",3231,"From Hell","R","Horror, Mystery & Suspense",121,"Rotten",57,151,31602566,2001,6.7,156011,0,1,0,0,0,0,0,1,0,0
"3232",3232,"From Nowhere","NR","Drama",89,"Fresh",92,13,8109,2017,6.7,353,0,0,0,1,0,0,0,0,1,0
"3233",3233,"From Paris with Love","R","Action & Adventure",92,"Rotten",38,161,24077427,2010,6.4,117625,0,0,1,0,0,0,0,1,0,0
"3234",3234,"From Prada to Nada","PG-13","Comedy, Drama, Romance",107,"Rotten",20,20,3033623,2011,5.5,15149,1,0,0,1,0,0,0,1,0,0
"3235",3235,"From the Hip","PG","Comedy",110,"Rotten",22,9,9518342,1987,6.1,2438,1,0,0,0,0,0,0,1,0,0
"3236",3236,"Front Cover","NR","Comedy",87,"Fresh",83,12,26409,2016,6.4,1183,1,0,0,0,0,0,0,0,1,0
"3237",3237,"Frontera","PG-13","Drama",103,"Rotten",54,24,59696,2014,6.1,16,0,0,0,1,0,0,0,1,0,0
"3238",3238,"Frontrunners","NR","Documentary, Drama, Special Interest",83,"Fresh",85,27,26976,2008,6.5,264,0,0,0,1,0,0,1,0,1,0
"3239",3239,"Frost/Nixon","R","Drama",122,"Certified-Fresh",93,256,18622031,2008,7.7,108389,0,0,0,1,0,0,0,0,0,1
"3240",3240,"Frozen River","R","Drama",96,"Certified-Fresh",88,135,2511476,2008,7.2,20,0,0,0,1,0,0,0,0,0,1
"3241",3241,"Fruitvale Station","R","Drama",85,"Certified-Fresh",94,212,16101339,2013,7.5,81473,0,0,0,1,0,0,0,0,0,1
"3242",3242,"Fugitive Pieces","R","Drama",108,"Fresh",68,76,635783,2008,6.9,2594,0,0,0,1,0,0,0,0,1,0
"3243",3243,"Full Battle Rattle","NR","Documentary, Special Interest",92,"Fresh",77,31,12306,2008,6.5,165,0,0,0,0,0,0,1,0,1,0
"3244",3244,"Full Frontal","R","Comedy, Drama",101,"Rotten",39,143,2512846,2002,5.5,44,1,0,0,1,0,0,0,1,0,0
"3245",3245,"Full Metal Jacket","R","Action & Adventure, Drama",116,"Certified-Fresh",92,83,46357676,1987,8.3,737018,0,0,1,1,0,0,0,0,0,1
"3246",3246,"The Full Monty","R","Comedy, Musical & Performing Arts",91,"Certified-Fresh",96,50,45950122,1997,7.2,106726,1,0,0,0,0,0,0,0,0,1
"3247",3247,"Fun Size","PG-13","Comedy",86,"Rotten",25,73,9409538,2012,5.4,14656,1,0,0,0,0,0,0,1,0,0
"3248",3248,"Funny About Love","PG-13","Comedy, Drama, Romance",101,"Rotten",0,7,8141292,1990,4.8,1479,1,0,0,1,0,0,0,1,0,0
"3249",3249,"Funny Bones","R","Comedy, Drama",128,"Fresh",61,18,532268,1995,6.7,3749,1,0,0,1,0,0,0,0,1,0
"3250",3250,"Funny People","R","Comedy, Drama",146,"Fresh",69,238,51855045,2009,6.2,296,1,0,0,1,0,0,0,0,1,0
"3251",3251,"Fur: An Imaginary Portrait of Diane Arbus","R","Drama",122,"Rotten",32,111,223202,2006,6.3,15927,0,0,0,1,0,0,0,1,0,0
"3252",3252,"Furlough","R","Comedy",83,"Rotten",20,5,8472,2018,5.5,2877,1,0,0,0,0,0,0,1,0,0
"3253",3253,"F/X","R","Action & Adventure, Mystery & Suspense",108,"Fresh",88,25,20603715,1986,6.7,20387,0,0,1,0,0,0,0,0,1,0
"3254",3254,"Gabbeh","NR","Art House & International, Drama",74,"Fresh",90,20,532629,1997,6.9,3391,0,0,0,1,0,1,0,0,1,0
"3255",3255,"Gabrielle","R","Drama",104,"Fresh",88,26,332829,2006,6.9,84,0,0,0,1,0,0,0,0,1,0
"3256",3256,"Galaxy Quest","PG","Comedy, Science Fiction & Fantasy",104,"Certified-Fresh",90,124,71583916,1999,7.4,164340,1,0,0,0,1,0,0,0,0,1
"3257",3257,"Game Night","R","Comedy, Mystery & Suspense",100,"Certified-Fresh",85,252,69179066,2018,6.9,234241,1,0,0,0,0,0,0,0,0,1
"3258",3258,"Game 6","R","Art House & International, Comedy, Drama",83,"Fresh",61,41,129664,2006,5.7,2769,1,0,0,1,0,1,0,0,1,0
"3259",3259,"Gamer","R","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",95,"Rotten",30,81,20534907,2009,3.1,315,0,0,1,0,1,0,0,1,0,0
"3260",3260,"Gandhi","PG","Classics, Drama",188,"Certified-Fresh",85,61,52767889,1982,8.1,231274,0,0,0,1,0,0,0,0,0,1
"3261",3261,"Gang Related","R","Action & Adventure, Drama, Mystery & Suspense",106,"Rotten",53,17,5906773,1997,6.4,9150,0,0,1,1,0,0,0,1,0,0
"3262",3262,"Gangs of New York","R","Classics, Drama",168,"Certified-Fresh",73,211,77812000,2002,6.3,151,0,0,0,1,0,0,0,0,0,1
"3263",3263,"Gangster No. 1","R","Action & Adventure, Art House & International, Drama, Mystery & Suspense",103,"Fresh",71,52,30915,2002,6.7,14038,0,0,1,1,0,1,0,0,1,0
"3264",3264,"Gangster Squad","R","Drama",110,"Rotten",31,205,46000903,2013,6.7,215819,0,0,0,1,0,0,0,1,0,0
"3265",3265,"Garage Days","R","Art House & International, Comedy, Musical & Performing Arts, Romance",105,"Rotten",43,53,32500,2003,5.8,2852,1,0,0,0,0,1,0,1,0,0
"3266",3266,"Garbo Talks","PG-13","Comedy, Drama",103,"Rotten",13,8,1493782,1984,6.4,1709,1,0,0,1,0,0,0,1,0,0
