"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes"
"613",626,"Funny Games","NR","Art House",108,"Fresh",69,35,1294919,2008,7.5,75038
"614",627,"Soldier","R","Action",NA,"Rotten",13,53,14594226,1998,6,56988
"615",628,"Whatever","R","Drama",112,"Fresh",75,16,307037,1998,6.4,1015
"616",629,"Tango","PG-13","Drama",115,"Fresh",68,22,1897948,1999,5.5,57
"617",630,"The Thin Red Line","R","Action",170,"Certified-Fresh",80,102,36400491,1998,6.7,767
"618",631,"Happiness","NR","Comedy",139,"Certified-Fresh",81,48,2807390,1998,6.9,35
"619",632,"Cousin Bette","R","Comedy",107,"Rotten",41,22,1295194,1998,6.2,2723
"620",633,"At First Sight","PG-13","Drama",128,"Rotten",32,38,22365133,1999,5.9,13828
"621",634,"Supernova","PG-13","Horror",90,"Rotten",10,61,14230455,2000,2.2,147
"622",635,"The Siege","R","Action",116,"Rotten",44,62,40981289,1998,6.4,73618
"623",636,"The Impostors","R","Comedy",101,"Fresh",62,37,2198044,1998,6.5,5202
"624",637,"Virus","R","Horror",99,"Rotten",12,49,14036005,1999,4.8,5287
"625",638,"Life","R","Comedy",108,"Rotten",50,54,63886029,1999,6.8,69
"626",639,"Go","R","Comedy",103,"Certified-Fresh",91,76,16943454,1999,7.2,71737
"627",640,"The Winslow Boy","G","Drama",104,"Fresh",97,37,3957934,1999,7.6,1583
"628",641,"Payback","R","Action",101,"Rotten",55,76,81526121,1999,4.5,78
"629",642,"Bent","NC17","Drama",117,"Fresh",73,22,496059,1997,7.1,8377
"630",643,"Buena Vista Social Club","G","Documentary",101,"Certified-Fresh",92,48,7002182,1999,7.6,19397
"631",644,"I'll Be Home for Christmas","PG","Comedy",86,"Rotten",23,43,12214338,1998,6.5,274
"632",645,"Underground","NR","Comedy",192,"Fresh",86,35,171082,1997,7.3,527
"633",646,"The Thirteenth Floor","R","Science Fiction",100,"Rotten",30,64,11916661,1999,7,72374
"634",647,"Black and White","R","Drama",97,"Rotten",20,10,5277299,2000,7.3,24
"635",648,"The War at Home","NR","Documentary",100,"Fresh",100,5,44722,1996,7.7,258
"636",649,"Deep Blue Sea","R","Horror",105,"Rotten",59,113,73648142,1999,5.9,134358
"637",650,"Dick","PG-13","Comedy",95,"Fresh",71,73,6262878,1999,6.2,20437
"638",651,"Deja Vu","PG-13","Drama",115,"Fresh",65,20,64038616,2006,7.1,311158
"639",652,"An Ideal Husband","PG-13","Comedy",96,"Certified-Fresh",85,65,18542974,1999,6.5,747
"640",653,"In Too Deep","R","Action",104,"Rotten",39,57,14011454,1999,4.4,36
"641",654,"The Best Man","R","Comedy",NA,"Fresh",72,71,34102780,1999,4.9,16
"642",655,"Man on the Moon","R","Comedy",118,"Fresh",63,120,34607430,1999,7.4,131378
"643",656,"Anna and the King","PG-13","Drama",147,"Rotten",51,101,39263420,1999,6.7,37501
"644",657,"Double Jeopardy","R","Action",105,"Rotten",27,86,116741558,1999,6.2,232
"645",658,"The Hurricane","R","Drama",146,"Certified-Fresh",83,113,50699241,1999,7.2,2655
"646",659,"Diamonds","PG-13","Comedy",91,"Rotten",26,35,88428,1999,5.1,314
"647",660,"The End of the Affair","R","Drama",109,"Fresh",67,66,10827816,1999,6.6,1346
