"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"5047","Mystery, Alaska",8891623,"R",1999,"119",6.7,37,27217,81
"5048","Mystery Men",29762011,"PG-13",1999,"121",6.1,61,67518,104
"5049","Mystic Pizza",12793213,"R",1988,"104",6.3,75,29642,24
"5050","Mystic River",90135191,"R",2003,"138",7.9,88,455052,206
"5051","Nacho Libre",80197993,"PG",2006,"92",5.8,40,88022,166
"5052","Nadine",5669831,"PG",1987,"83",5.5,45,4127,11
"5053","Naked",1769305,"NR",1993,"131",7.7,0,39668,8
"5054","Naked Fame",29220,"NR",2005,"85",5.2,50,197,8
"5055","The Namesake",13569248,"PG-13",2007,"122",7.5,85,20778,135
"5056","Nancy Drew",25612520,"PG",2007,"99",5.9,50,20628,137
"5057","Nanking",161182,"R",2007,"90",7.7,96,3505,47
"5058","The Nanny Diaries",25930652,"PG-13",2007,"106",6.2,34,60183,132
"5059","Nanny McPhee",47144110,"PG",2006,"97",6.6,73,77143,135
"5060","Napoleon Dynamite",44540956,"PG",2004,"96",6.9,71,219516,174
"5061","Narc",10465659,"R",2002,"105",7.1,84,41302,158
"5062","Narcissister Organ Player",15334,"NR",2018,"91",5.7,71,67,7
"5063","Narco Cultura",145088,"R",2013,"103",7.2,89,2452,44
"5064","Nasty Baby",79800,"R",2015,"101",5.6,68,2503,56
"5065","Nate and Hayes",1963756,"PG",1983,"99",6.1,0,2275,6
"5066","National Lampoon's Vacation",61399552,"R",1983,"98",7.3,93,109358,44
"5067","National Lampoon's Van Wilder",21305259,"R",2002,"92",6.4,18,110358,98
"5068","National Security",36381186,"PG-13",2003,"88",5.6,11,51136,90
"5069","National Treasure",173008894,"PG",2004,"131",6.9,46,331932,179
"5070","National Treasure: Book of Secrets",219964115,"PG",2007,"124",6.5,36,237521,130
"5071","The Nativity Story",37629831,"PG",2006,"101",6.8,37,11674,131
"5072","The Natural",47951979,"PG",1984,"138",7.4,81,49378,43
"5073","Natural Born Killers",50282766,"R",1994,"119",7.2,48,235004,40
"5074","Natural Selection",55282,"R",2012,"90",5.3,74,195,35
"5075","Nature Calls",646,"R",2012,"79",3.9,5,2465,22
"5076","The Nature of Existence",54645,"NR",2010,"94",6.5,64,497,22
"5077","Nebraska",17654912,"R",2013,"88",8.2,91,24,247
"5078","Necessary Roughness",26255594,"PG-13",1991,"108",6.1,33,12260,30
"5079","Needful Things",15185672,"R",1993,"120",6.2,31,25412,26
"5080","Neighbors 2: Sorority Rising",55455765,"R",2016,"92",5.7,64,123259,204
"5081","Neil Young Journeys",215026,"PG",2012,"87",6.5,89,808,63
"5082","Nell",33683817,"PG-13",1994,"112",6.5,55,29456,33
"5083","Nemesis",2001124,"R",1993,"95",5.3,60,5925,5
"5084","Nerve",38583626,"PG-13",2016,"83",6.9,67,100,138
"5085","The Net",50727965,"PG",1995,"\N",7,41,30,49
"5086","Never Back Down",24850922,"PG-13",2008,"113",6.5,23,101873,84
"5087","Never Been Kissed",55474756,"PG-13",1999,"107",6,55,91251,89
"5088","Never Been Thawed",47219,"R",2005,"87",5.7,58,383,24
"5089","Never Cry Wolf",29600000,"PG",1983,"105",7.5,100,8258,19
